HS_Subfind,,Model_GIFcosm,,Bolshoi_Rockstar,,MSII_Subfind,,Bolshoi_BDM,,GIF_SURV,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
-1.6171903544026303,-0.029411764705882915,-0.4450493240774578,-1.1056843891402721,-1.1895688710266716,-0.24563348416289665,-2.037175739861161,0.3604751131221713,-1.0444830105955427,-0.48936651583710455,-0.7314029959810013,-0.7257918552036204
-1.5331932773109243,-0.10635746606334906,-0.39541468761417686,-1.4685972850678737,-1.1055717939349652,-0.30839366515837163,-1.9522241505297768,0.2868608597285063,-0.9604859335038367,-0.5650226244343899,-0.6474059188892953,-0.8216515837104077
-1.4491962002192178,-0.18373303167420874,-0.3725063938618933,-1.5789291101055816,-1.0215747168432592,-0.3728733031674212,-1.2525666788454513,-0.35739819004524964,-0.8764888564121303,-0.6411085972850685,-0.5634088417975889,-0.9248190045248874
-1.3651991231275118,-0.2688461538461544,-0.3541797588600666,-1.691782805429865,-0.9375776397515532,-0.4382126696832582,-1.181932773109244,-0.4377828054298649,-0.7924917793204242,-0.7193438914027155,-0.49850200949945256,-1.0209653092006041
-1.2812020460358058,-0.3569683257918559,-2.2298136645962727,0.5076923076923072,-0.8535805626598467,-0.5061312217194573,-1.1017537449762513,-0.5385000000000004,-0.7084947022287178,-0.8014479638009053,-0.4603215199123132,-1.1446945701357474
-1.1972049689440993,-0.45755656108597353,-1.9689440993788816,0.2769230769230766,-0.7734015345268546,-0.5994977375565615,-1.0292108147606869,-0.6342785319255912,-0.6244976251370118,-0.8908597285067881,-0.42977712824260195,-1.252268099547512
-1.120843989769821,-0.5617747611865265,-1.6583850931677016,0.046153846153845546,-0.6970405553525763,-0.7016334841628962,-0.9643039824625506,-0.7362697963800913,-0.5557727438801612,-0.9937201034259862,-0.3992327365728907,-1.364570135746607
-1.0559371574716843,-0.6659332579185526,,,-0.6206795761782979,-0.800932126696833,-0.9070332480818415,-0.8309243697478994,-0.5061381074168803,-1.0942571644042238,-0.3686883449031795,-1.4780542986425345
-0.9986664230909756,-0.7626987718164191,,,-0.571044939715017,-0.872805429864254,-0.8573986116185606,-0.9303355957767727,-0.4717756667884552,-1.1754298642533945,-0.3381439532334678,-1.585627828054299
-0.9490317866276947,-0.8688650075414786,,,-0.513774205334308,-1.0288461538461546,-0.8115820241139939,-1.0367269984917047,-0.380142491779321,-1.3447104072398193,-0.31523565948118426,-1.6553733031674214
-0.9032151991231276,-0.9823491704374061,,,-0.4145049324077461,-1.2171983408748122,-0.7657654366094269,-1.1454826546003019,-0.34578005115089594,-1.4437726244343896,-0.30434782608695743,-1.7076923076923083
-0.8612166605772749,-1.0893710407239823,,,-0.3686883449031795,-1.316496983408749,-0.7237668980635736,-1.2614886877828062,-0.31523565948118426,-1.5596210407239823,,
-0.8268542199488493,-1.1967081447963808,,,-0.2808732188527592,-1.810625942684767,-0.6894044574351486,-1.37048076923077,-0.284691267811473,-1.6778337104072403,,
-0.7963098282791381,-1.305463800904978,,,-0.25796492510047564,-1.9241101055806946,-0.6588600657654369,-1.4827828054298648,-0.2541468761417618,-1.8007748868778286,,
-0.7695834855681407,-1.413746606334842,,,-0.23887468030690595,-2.047839366515838,-0.6283156740957256,-1.5962669683257924,-0.22360248447205056,-1.917805429864254,,
-0.7428571428571433,-1.525339366515838,,,-0.21978443551333626,-2.1495022624434394,-0.5977712824260144,-1.7085690045248874,-0.19305809280233888,-2.0407466063348423,,
-0.6798593350383637,-1.8397850678733039,,,-2.2049689440993783,0.5076923076923072,-0.571044939715017,-1.8295399698340882,-0.16251370113262764,-2.1459558823529417,,
-0.6657325538911221,-1.9452307692307698,,,,,-0.5481366459627335,-1.9414479638009055,0.009298502009498222,1.2975791855203616,,
-0.6443514797223244,-2.0700633484162902,,,,,-0.52522835221045,-2.0628129713423835,,,,
-0.6321337230544395,-2.144773755656109,,,,,-0.5061381074168803,-2.1471380090497743,,,,
-0.7080745341614914,-1.6615384615384619,,,,,-1.4596273291925463,-0.16923076923076974,,,,
-0.6894409937888204,-1.7538461538461543,,,,,-1.6832298136645965,0.030769230769230438,,,,
-0.7267080745341623,-1.6000000000000005,,,,,-1.8447204968944098,0.18461538461538418,,,,
